id,title,type,history,poster,ticket_price,event_start,event_end,created_at
1,Government Museum Chennai,museum,"Established in 1851, the Government Museum Chennai is the second oldest museum in India. It houses a rich collection of artifacts, including bronze sculptures, archaeological findings, and paintings.",https://github.com/user-attachments/assets/1cfc7f68-41ab-428b-bae6-825ac43be6fc,50,2024-09-12T09:00:00Z,2024-09-12T17:00:00Z
2,CHILDREN'S MUSEUM,museum,"The Children's Museum in Chennai was founded in 1997 as part of the Government Museum complex. It aims to educate children through interactive exhibits and hands-on learning experiences.",https://github.com/user-attachments/assets/6ed9b2e0-919e-4e40-a5ae-426a7c64a68f,30,2024-09-13T10:00:00Z,2024-09-13T16:00:00Z,2024-09-08T10:01:00Z
3,DR. ARUN'S PHOTOGRAPHY AND VINTAGE CAMERA MUSEUM,museum,"Opened in 2019, Dr. Arun's Photography and Vintage Camera Museum is a private collection showcasing the evolution of photography. It houses over 1,500 antique cameras and photographic equipment.",https://github.com/user-attachments/assets/3ef3d59e-0f24-4b7b-be5c-9e06fe7f0616,40,2024-09-14T09:30:00Z
4,Chennai Rail Museum,museum,"Established in 2002, the Chennai Rail Museum is located in the ICF premises. It showcases the rich heritage of Indian Railways, featuring vintage locomotives, coaches, and railway artifacts.",https://github.com/user-attachments/assets/e59c4b98-0332-4ab3-8072-79725c82a692,50,2024-09-15T10:00:00Z,2024-09-15T18:00:00Z
5,Vivekananda House,museum,"Originally known as Ice House, this building was renamed Vivekananda House in 1963. It's where Swami Vivekananda stayed in 1897 and now serves as a museum dedicated to his life and teachings.",https://github.com/user-attachments/assets/a6fd9430-bd95-4af7-bbad-3ca4aedf147c,60,2024-09-16T09:00:00Z,2024-09-16T17:00:00Z
6,Fort St. George Museum,museum,"Established in 1948, the Fort St. George Museum is located within the first British fortress in India. It houses artifacts from the colonial period, including weapons, coins, and documents.",https://github.com/user-attachments/assets/b820ffd9-e527-4072-8e46-32d552150d5e,60,2024-09-17T09:00:00Z,2024-09-17T17:00:00Z
7,National Art Gallery Chennai,museum,"The National Art Gallery in Chennai was established in 1907. It is housed in a Victorian-style building and showcases paintings from various Indian art schools, including Tanjore, Rajput, and Mughal.",https://github.com/user-attachments/assets/50a8d468-36d3-4c59-90a7-61084791669c,20,2024-09-18T10:00:00Z,2024-09-18T16:00:00Z
8,Art Through Time,exhibition,"Take a walk through history with famous paintings from different time periods. See how art styles have changed over the years and learn about the stories behind these amazing artworks.",/art.jpeg,250,2024-09-20T11:00:00Z,2024-09-20T17:00:00Z
9,Science Wonders,exhibition,"Get ready for a fun science adventure! Try cool experiments, play with interactive displays, and learn about the world around us. Perfect for curious minds of all ages.",/science.jpeg,300,2024-09-21T10:00:00Z,2024-09-21T16:00:00Z
10,Ancient Treasures,exhibition,"Step back in time and discover amazing objects from long-ago civilizations. See real artifacts, learn how people lived in the past, and uncover the secrets of ancient cultures.",/historical.jpeg,200,2024-09-22T09:30:00Z,2024-09-22T17:30:00Z
